dose,replicate,scoring,recall_at_10,mrr,ndcg_at_10
0.25,159,strict,0.05305475019907093,0.43590933852966635,0.24302713160613318
0.25,159,semantic,0.05408523880237232,0.9039215686274509,0.8129335286806366
0.25,160,strict,0.052226178132088824,0.3819069837234692,0.24532040412611017
0.25,160,semantic,0.056694007391427235,0.8949019607843137,0.8316943580400582
0.25,161,strict,0.056641810092053366,0.4119820973870921,0.25594882538645314
0.25,161,semantic,0.05555293919303397,0.8827450980392156,0.8290294133011316
0.25,162,strict,0.05673772662314288,0.4003890715926381,0.25381588611451184
0.25,162,semantic,0.05715001072516368,0.892156862745098,0.8485137419889358
0.25,163,strict,0.059130726869283314,0.3643644710872383,0.23696060446412626
0.25,163,semantic,0.05815355252708106,0.8002100840336134,0.8106316909807398
0.25,164,strict,0.059356894731902955,0.3738433475426135,0.2544999574987063
0.25,164,semantic,0.05922421058641429,0.8409803921568627,0.8435272885898197
0.25,165,strict,0.056445351204814864,0.3623446749307664,0.2315833061358047
0.25,165,semantic,0.05546956322093025,0.8190196078431372,0.7936089258259876
0.25,166,strict,0.05225473023853469,0.34485512532874213,0.236953854790686
0.25,166,semantic,0.055698871565046194,0.8713725490196078,0.822406224483259
0.25,167,strict,0.05438693136275343,0.4017922246966861,0.23690586271086686
0.25,167,semantic,0.05413259893336696,0.8690196078431371,0.7993799467206185
0.25,168,strict,0.05882208772420139,0.390453479403454,0.25090893201787673
0.25,168,semantic,0.05617793662884675,0.8219607843137254,0.8042320198291437
0.25,169,strict,0.058470558119095975,0.4168047599648966,0.2416520152239958
0.25,169,semantic,0.05418478136439618,0.8866666666666666,0.8014350121603446
0.25,170,strict,0.057673308811170054,0.4007709240052918,0.24163297162811692
0.25,170,semantic,0.054057908962324853,0.8419607843137255,0.794612944025371
0.25,171,strict,0.05559639583371998,0.38090105415578795,0.23556488531976558
0.25,171,semantic,0.056942513764580274,0.7994117647058824,0.7867036090105046
0.25,172,strict,0.05880345281311507,0.42145332490253234,0.24706970706197542
0.25,172,semantic,0.05678140466031876,0.8758823529411766,0.8124651546638256
0.25,173,strict,0.05405652382281262,0.34874604477379234,0.2316563275074727
0.25,173,semantic,0.053981146151173345,0.8576470588235294,0.7984689277221458
0.25,174,strict,0.05556196162817121,0.36193111484007556,0.23529458138522336
0.25,174,semantic,0.056371229131853606,0.75,0.787397332162696
0.25,175,strict,0.06206954700848242,0.36338981527197983,0.24131454507289743
0.25,175,semantic,0.05653385883983973,0.8488235294117648,0.7910215074938914
0.25,176,strict,0.0521590297883027,0.3578569156065431,0.2420015193492144
0.25,176,semantic,0.05735323957576374,0.8419607843137255,0.8374052215703438
0.25,177,strict,0.05772502945984558,0.42272718017744954,0.2526368276778373
0.25,177,semantic,0.05504599205280116,0.8911764705882353,0.8240964029437231
0.25,178,strict,0.05597206535461913,0.3622335963092717,0.2269071446538035
0.25,178,semantic,0.05454152606896697,0.7568767507002802,0.751186231376726
0.25,179,strict,0.05445489370360725,0.3984531556606119,0.24439663527421432
0.25,179,semantic,0.055818442464350776,0.892549019607843,0.8362020011671875
0.25,180,strict,0.056746699674383644,0.3903777179230619,0.23694206301950144
0.25,180,semantic,0.05525849235317739,0.8298039215686275,0.7895745843741724
0.25,181,strict,0.05697052563771658,0.3404156501651065,0.22774089633468048
0.25,181,semantic,0.05565677330903865,0.7498039215686274,0.7709783258394186
0.25,182,strict,0.047721514783178896,0.3788700830332787,0.2322718288638614
0.25,182,semantic,0.0530109990212038,0.8313725490196079,0.7525730532508679
0.25,183,strict,0.051607905891254684,0.3598703253088941,0.22816368818701407
0.25,183,semantic,0.05426844908402395,0.8168627450980392,0.7905364028101445
0.25,184,strict,0.05775966296540989,0.38334194784256387,0.24947696301808406
0.25,184,semantic,0.058618430716303155,0.897843137254902,0.8511893315955096
0.25,185,strict,0.0588857388539764,0.4206049870071827,0.24380964446566303
0.25,185,semantic,0.05603145202044975,0.8670588235294118,0.8088919631134802
0.25,186,strict,0.0589556142471411,0.366219231121821,0.24422946312198324
0.25,186,semantic,0.05748798720731762,0.8166666666666668,0.8092807286681252
0.25,187,strict,0.05798145193286591,0.3908509336163573,0.2483340471926373
0.25,187,semantic,0.0578670701341418,0.8870588235294118,0.8621973291486563
0.25,188,strict,0.05636847615086308,0.4017652165642953,0.24328373918788207
