domain,protocol,repeat,doc_id,expected_version,expected_epoch,dense_versions,sparse_versions,stale,future,mixed,missing,answer_error,update_window,latency_ms
flask,weaviate_naive,0,36,2,4,1,1,1,0,0,1,1,1,11.02202944457531
flask,weaviate_naive,0,30,2,4,1,1,1,0,0,1,1,1,9.33094136416912
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,5.119644105434418
flask,weaviate_naive,0,34,2,4,1,1,1,0,0,1,1,1,6.317225284874439
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,8.04961659014225
flask,weaviate_naive,0,37,2,4,1,1,1,0,0,1,1,1,4.242924973368645
flask,weaviate_naive,0,31,2,4,1,1,1,0,0,1,1,1,8.15866980701685
flask,weaviate_naive,0,30,2,4,1,1,1,0,0,1,1,1,5.389331839978695
flask,weaviate_naive,0,38,2,4,1,1,1,0,0,1,1,1,5.362516269087791
flask,weaviate_naive,0,36,2,4,1,1,1,0,0,1,1,1,7.0232124999165535
flask,weaviate_naive,0,32,2,4,1,1,1,0,0,1,1,1,4.775018431246281
flask,weaviate_naive,0,34,2,4,1,1,1,0,0,1,1,1,7.2611672803759575
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,6.568665616214275
flask,weaviate_naive,0,30,2,4,1,1,1,0,0,1,1,1,4.9271127209067345
flask,weaviate_naive,0,31,2,4,1,1;2,1,0,1,1,1,1,6.171132437884808
flask,weaviate_naive,0,35,2,4,1,1,1,0,0,1,1,1,15.171224251389503
flask,weaviate_naive,0,37,2,4,1,1,1,0,0,1,1,1,18.089325167238712
flask,weaviate_naive,0,38,2,4,1,1,1,0,0,1,1,1,18.63859500735998
flask,weaviate_naive,0,37,2,4,1,1,1,0,0,1,1,1,9.01532918214798
flask,weaviate_naive,0,37,2,4,1,1,1,0,0,1,1,1,23.278801701962948
flask,weaviate_naive,0,38,2,4,1,1,1,0,0,1,1,1,9.813256561756134
flask,weaviate_naive,0,37,2,4,1,1,1,0,0,1,1,1,11.030417867004871
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,9.296322241425514
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,9.170803241431713
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,6.745907478034496
flask,weaviate_naive,0,38,2,4,1,1,1,0,0,1,1,1,8.261245675384998
flask,weaviate_naive,0,35,2,4,,1,1,0,0,1,1,1,6.230814382433891
flask,weaviate_naive,0,31,2,4,,1;2,1,0,1,1,1,1,7.186943665146828
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,9.44106187671423
flask,weaviate_naive,0,31,2,4,,1;2,1,0,1,1,1,1,5.95477782189846
flask,weaviate_naive,0,37,2,4,,1,1,0,0,1,1,1,3.1781168654561043
flask,weaviate_naive,0,33,2,4,,1,1,0,0,1,1,1,5.540315993130207
flask,weaviate_naive,0,38,2,4,,2,0,0,0,1,1,0,7.838845252990723
flask,weaviate_naive,0,38,2,4,,2,0,0,0,1,1,0,6.104879081249237
flask,weaviate_naive,0,11,2,2,,2,0,0,0,1,1,0,10.548398829996586
flask,weaviate_naive,0,32,2,4,,2,0,0,0,1,1,0,3.921688534319401
flask,weaviate_naive,0,30,2,4,,2,0,0,0,1,1,1,4.349084571003914
flask,weaviate_naive,0,36,2,4,,2,0,0,0,1,1,1,5.6265853345394135
flask,weaviate_naive,0,39,2,4,,2,0,0,0,1,1,1,8.617259562015533
