dataset,model,scoring,strategy,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
meva,qwen3vl_8b,strict,B2_vector_only,0.0084755871643169,0.1450777202072538,0.0296082668918717,0.3730569948186528,0.0558746628219219,0.4974093264248704,0.1049210919200663,0.6580310880829016,0.25725791162176,0.128225436870254
meva,qwen3vl_8b,semantic,B2_vector_only,0.0071821959184382,0.4818652849740932,0.0280963027107518,0.7512953367875648,0.0518546537797358,0.7927461139896373,0.1034623767743996,0.911917098445596,0.6152659731355133,0.4541189998078148
meva,qwen3vl_8b,strict,B3_vector_postfilter,0.0322925406796914,0.4766839378238341,0.1273366609894189,0.7305699481865285,0.2059400721320056,0.8393782383419689,0.3184827326156192,0.9430051813471504,0.5930652021476648,0.396981674544299
meva,qwen3vl_8b,semantic,B3_vector_postfilter,0.0062175821099612,0.4766839378238341,0.0249762544085979,0.7305699481865285,0.042998730880632,0.8393782383419689,0.0724819880924127,0.9430051813471504,0.5930652021476648,0.3805355605489501
meva,qwen3vl_8b,strict,B4_prefilter_vector,0.0322925406796914,0.4766839378238341,0.1273366609894189,0.7305699481865285,0.206587740525788,0.8393782383419689,0.3282804450406125,0.9430051813471504,0.5932747151301823,0.3973605182668063
meva,qwen3vl_8b,semantic,B4_prefilter_vector,0.0062175821099612,0.4766839378238341,0.0249762544085979,0.7305699481865285,0.0431044726592087,0.8393782383419689,0.0736917516514093,0.9430051813471504,0.5932747151301823,0.380865201938582
meva,qwen3vl_8b,strict,B5_hybrid,0.0284835052715919,0.4300518134715025,0.1115486107671165,0.6476683937823834,0.194235872642859,0.7875647668393783,0.3109797581421016,0.8704663212435233,0.5413897463362971,0.3642033363258155
meva,qwen3vl_8b,semantic,B5_hybrid,0.0056467270868491,0.4300518134715025,0.021821866776464,0.6476683937823834,0.0402593062878663,0.7875647668393783,0.0683563256319943,0.8704663212435233,0.5413897463362971,0.3500797283417599
meva,qwen35_9b,strict,B0_metadata_only,0.0084625554499129,0.1243523316062176,0.0366456183315801,0.4248704663212435,0.0959354739048603,0.6062176165803109,0.1734357213787639,0.7927461139896373,0.289404281792268,0.144094804606674
meva,qwen35_9b,semantic,B0_metadata_only,0.001937366539072,0.1243523316062176,0.0069837763466059,0.4248704663212435,0.0179897532759518,0.6062176165803109,0.0341178531016406,0.7927461139896373,0.289404281792268,0.1383597899343764
meva,qwen35_9b,strict,B1_bm25_only,0.0001400364094664,0.005181347150259,0.0096816307787496,0.1761658031088082,0.0188721918152343,0.3056994818652849,0.0386709352682118,0.4766839378238341,0.097685787675137,0.0390169477979817
meva,qwen35_9b,semantic,B1_bm25_only,0.0002114835571534,0.0103626943005181,0.0119987795184937,0.5906735751295337,0.0223040219992675,0.7564766839378239,0.0408796673782268,0.8652849740932642,0.2453080983627326,0.1669760448914789
meva,qwen35_9b,strict,B2_vector_only,0.003252989847748,0.0880829015544041,0.0140378067683685,0.2279792746113989,0.033802055806098,0.4455958549222797,0.0636458148402735,0.5958549222797928,0.1763208856700052,0.0696883631048548
meva,qwen35_9b,semantic,B2_vector_only,0.0053051148894119,0.310880829015544,0.0193033396953692,0.6580310880829016,0.0370684089170031,0.927461139896373,0.0679408466131037,0.9637305699481864,0.472205906668424,0.2709775794319555
meva,qwen35_9b,strict,B3_vector_postfilter,0.0176058464408995,0.2642487046632124,0.0885438936374043,0.7461139896373057,0.1418302719695075,0.8601036269430051,0.2373284786722124,0.9430051813471504,0.461074546235712,0.2566570281625168
meva,qwen35_9b,semantic,B3_vector_postfilter,0.0040181728661959,0.2642487046632124,0.0195902719760299,0.7461139896373057,0.0323103938177088,0.8601036269430051,0.0557990053264539,0.9430051813471504,0.461074546235712,0.2463105522363436
meva,qwen35_9b,strict,B4_prefilter_vector,0.0176058464408995,0.2642487046632124,0.0885438936374043,0.7461139896373057,0.1447254338024932,0.8652849740932642,0.2557467112743829,0.9481865284974094,0.4620606470663723,0.2584928252606933
meva,qwen35_9b,semantic,B4_prefilter_vector,0.0040181728661959,0.2642487046632124,0.0195902719760299,0.7461139896373057,0.032527243313602,0.8652849740932642,0.057510406629697,0.9481865284974094,0.4620606470663723,0.247799918228412
meva,qwen35_9b,strict,B5_hybrid,0.0161376225267934,0.2642487046632124,0.0717951678095741,0.6683937823834197,0.1286575259438932,0.7979274611398963,0.2223830131165471,0.9067357512953368,0.4371258957871793,0.23066409573496
meva,qwen35_9b,semantic,B5_hybrid,0.0038999383659835,0.2642487046632124,0.0166722546259238,0.6683937823834197,0.0280825596555973,0.7979274611398963,0.0490285958095399,0.9067357512953368,0.4371258957871793,0.2216788825099934
uca,qwen25vl_7b,strict,B0_metadata_only,0.0026575830677937,0.0814814814814814,0.0095435938136107,0.2444444444444444,0.0179810830751342,0.3777777777777777,0.0430719619219948,0.5777777777777777,0.1825083777034349,0.0661194080069674
uca,qwen25vl_7b,semantic,B0_metadata_only,0.0003218066011908,0.0814814814814814,0.0010863311342087,0.2444444444444444,0.0023834159852327,0.3777777777777777,0.004901722646983,0.5777777777777777,0.1825083777034349,0.0655253689349701
uca,qwen25vl_7b,strict,B1_bm25_only,0.0013433401515523,0.0666666666666666,0.0032380407817955,0.1259259259259259,0.0073342195638357,0.2074074074074074,0.0163207001066343,0.3185185185185185,0.1047096623410855,0.0403726095058599
