pair,kind,selectivity,replicate,method,recall_at_10
date==20200915,natural,0.04934,3,postfilter_hnsw_K4x,0.8992
date==20200915,natural,0.04934,3,single_stage_ivf_batch_np8,0.9617
date==20200915,natural,0.04934,3,single_stage_ivf_batch_np32,0.9978
date==20200915,natural,0.04934,4,postfilter_hnsw_K1x,0.8498
date==20200915,natural,0.04934,4,postfilter_hnsw_K2x,0.8963
date==20200915,natural,0.04934,4,postfilter_hnsw_K4x,0.8963
date==20200915,natural,0.04934,4,single_stage_ivf_batch_np8,0.9596
date==20200915,natural,0.04934,4,single_stage_ivf_batch_np32,0.9986
date==20200915,natural,0.04934,5,postfilter_hnsw_K1x,0.8486
date==20200915,natural,0.04934,5,postfilter_hnsw_K2x,0.8939
date==20200915,natural,0.04934,5,postfilter_hnsw_K4x,0.8939
date==20200915,natural,0.04934,5,single_stage_ivf_batch_np8,0.9595
date==20200915,natural,0.04934,5,single_stage_ivf_batch_np32,0.9971
hour==01,natural,0.02637,1,postfilter_hnsw_K1x,0.7222
hour==01,natural,0.02637,1,postfilter_hnsw_K2x,0.7258
hour==01,natural,0.02637,1,postfilter_hnsw_K4x,0.7258
hour==01,natural,0.02637,1,single_stage_ivf_batch_np8,0.9177
hour==01,natural,0.02637,1,single_stage_ivf_batch_np32,0.9948
hour==01,natural,0.02637,2,postfilter_hnsw_K1x,0.7139
hour==01,natural,0.02637,2,postfilter_hnsw_K2x,0.72
hour==01,natural,0.02637,2,postfilter_hnsw_K4x,0.72
hour==01,natural,0.02637,2,single_stage_ivf_batch_np8,0.9142
hour==01,natural,0.02637,2,single_stage_ivf_batch_np32,0.9949
hour==01,natural,0.02637,3,postfilter_hnsw_K1x,0.7246
hour==01,natural,0.02637,3,postfilter_hnsw_K2x,0.7317
hour==01,natural,0.02637,3,postfilter_hnsw_K4x,0.7317
hour==01,natural,0.02637,3,single_stage_ivf_batch_np8,0.9208
hour==01,natural,0.02637,3,single_stage_ivf_batch_np32,0.9952
hour==01,natural,0.02637,4,postfilter_hnsw_K1x,0.7245
hour==01,natural,0.02637,4,postfilter_hnsw_K2x,0.729
hour==01,natural,0.02637,4,postfilter_hnsw_K4x,0.729
hour==01,natural,0.02637,4,single_stage_ivf_batch_np8,0.9148
hour==01,natural,0.02637,4,single_stage_ivf_batch_np32,0.9942
hour==01,natural,0.02637,5,postfilter_hnsw_K1x,0.7323
hour==01,natural,0.02637,5,postfilter_hnsw_K2x,0.7365
hour==01,natural,0.02637,5,postfilter_hnsw_K4x,0.7365
hour==01,natural,0.02637,5,single_stage_ivf_batch_np8,0.9221
hour==01,natural,0.02637,5,single_stage_ivf_batch_np32,0.9956
hour==02,natural,0.06573,1,postfilter_hnsw_K1x,0.8769
hour==02,natural,0.06573,1,postfilter_hnsw_K2x,0.9495
hour==02,natural,0.06573,1,postfilter_hnsw_K4x,0.9495
hour==02,natural,0.06573,1,single_stage_ivf_batch_np8,0.9742
hour==02,natural,0.06573,1,single_stage_ivf_batch_np32,0.9981
hour==02,natural,0.06573,2,postfilter_hnsw_K1x,0.8792
hour==02,natural,0.06573,2,postfilter_hnsw_K2x,0.9488
hour==02,natural,0.06573,2,postfilter_hnsw_K4x,0.9488
hour==02,natural,0.06573,2,single_stage_ivf_batch_np8,0.9756
hour==02,natural,0.06573,2,single_stage_ivf_batch_np32,0.9985
hour==02,natural,0.06573,3,postfilter_hnsw_K1x,0.8731
hour==02,natural,0.06573,3,postfilter_hnsw_K2x,0.9435
hour==02,natural,0.06573,3,postfilter_hnsw_K4x,0.9435
hour==02,natural,0.06573,3,single_stage_ivf_batch_np8,0.975
hour==02,natural,0.06573,3,single_stage_ivf_batch_np32,0.9991
hour==02,natural,0.06573,4,postfilter_hnsw_K1x,0.8722
hour==02,natural,0.06573,4,postfilter_hnsw_K2x,0.9425
hour==02,natural,0.06573,4,postfilter_hnsw_K4x,0.9425
hour==02,natural,0.06573,4,single_stage_ivf_batch_np8,0.9732
hour==02,natural,0.06573,4,single_stage_ivf_batch_np32,0.9983
hour==02,natural,0.06573,5,postfilter_hnsw_K1x,0.8842
hour==02,natural,0.06573,5,postfilter_hnsw_K2x,0.9496
hour==02,natural,0.06573,5,postfilter_hnsw_K4x,0.9496
hour==02,natural,0.06573,5,single_stage_ivf_batch_np8,0.9737
hour==02,natural,0.06573,5,single_stage_ivf_batch_np32,0.9989
hour==05,natural,0.05311,1,postfilter_hnsw_K1x,0.8465
hour==05,natural,0.05311,1,postfilter_hnsw_K2x,0.9029
hour==05,natural,0.05311,1,postfilter_hnsw_K4x,0.9029
hour==05,natural,0.05311,1,single_stage_ivf_batch_np8,0.9664
hour==05,natural,0.05311,1,single_stage_ivf_batch_np32,0.9982
hour==05,natural,0.05311,2,postfilter_hnsw_K1x,0.8496
hour==05,natural,0.05311,2,postfilter_hnsw_K2x,0.9078
hour==05,natural,0.05311,2,postfilter_hnsw_K4x,0.9078
hour==05,natural,0.05311,2,single_stage_ivf_batch_np8,0.9615
hour==05,natural,0.05311,2,single_stage_ivf_batch_np32,0.9978
hour==05,natural,0.05311,3,postfilter_hnsw_K1x,0.8629
hour==05,natural,0.05311,3,postfilter_hnsw_K2x,0.9134
hour==05,natural,0.05311,3,postfilter_hnsw_K4x,0.9134
hour==05,natural,0.05311,3,single_stage_ivf_batch_np8,0.9694
hour==05,natural,0.05311,3,single_stage_ivf_batch_np32,0.998
hour==05,natural,0.05311,4,postfilter_hnsw_K1x,0.8746
hour==05,natural,0.05311,4,postfilter_hnsw_K2x,0.9183
hour==05,natural,0.05311,4,postfilter_hnsw_K4x,0.9183
hour==05,natural,0.05311,4,single_stage_ivf_batch_np8,0.969
hour==05,natural,0.05311,4,single_stage_ivf_batch_np32,0.9985
hour==05,natural,0.05311,5,postfilter_hnsw_K1x,0.853
hour==05,natural,0.05311,5,postfilter_hnsw_K2x,0.9091
hour==05,natural,0.05311,5,postfilter_hnsw_K4x,0.9091
hour==05,natural,0.05311,5,single_stage_ivf_batch_np8,0.9663
hour==05,natural,0.05311,5,single_stage_ivf_batch_np32,0.9983
hour==06,natural,0.18291,1,postfilter_hnsw_K1x,0.905
hour==06,natural,0.18291,1,postfilter_hnsw_K2x,0.9963
hour==06,natural,0.18291,1,postfilter_hnsw_K4x,0.9964
hour==06,natural,0.18291,1,single_stage_ivf_batch_np8,0.9896
hour==06,natural,0.18291,1,single_stage_ivf_batch_np32,0.9997
hour==06,natural,0.18291,2,postfilter_hnsw_K1x,0.9053
