predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,p99_ms,build_s,selector_build_ms,escalated,kprime,degenerate
location==계룡대교네거리,natural,0.03898,5166,1000.0,prefilter_hnsw_ef64,0.982,0.9783,0.9854,0.037,0.0366,0.0375,0.0474,0.0462,0.0489,0.052,0.615,,,,
location==계룡대교네거리,natural,0.03898,5166,1000.0,postfilter_hnsw_K4x,0.1381,0.1204,0.1568,0.1263,0.1239,0.1283,0.1622,0.1585,0.1703,0.1872,,,,1028.0,False
location==계룡대교네거리,natural,0.03898,5166,1000.0,postfilter_hnsw_K2x,0.1354,0.1177,0.1531,0.0973,0.0951,0.1001,0.1323,0.1293,0.1366,0.1504,,,,514.0,False
location==계룡대교네거리,natural,0.03898,5166,1000.0,single_stage_ivf_batch_np8,0.1156,0.098,0.1342,0.0596,0.0595,0.0598,0.089,0.076,0.1022,0.1437,,0.33,,,
location==계룡대교네거리,natural,0.03898,5166,1000.0,single_stage_ivf_batch_np32,0.2887,0.2625,0.3137,0.07,0.0698,0.0702,0.1576,0.1425,0.1725,0.209,,0.33,,,
location==계룡대교네거리,natural,0.03898,5166,1000.0,single_stage_ivf_batch_np128,0.58,0.5515,0.6076,0.1164,0.1126,0.1222,0.4418,0.4136,0.4646,0.5482,,0.33,True,,
CTRL(s=0.0390)|location==계룡대교네거리,control,0.03898,5166,137.9,postfilter_hnsw_K4x,0.8405,0.8306,0.8498,0.1248,0.1226,0.1271,0.1615,0.1556,0.1689,0.1803,,,,1028.0,False
CTRL(s=0.0390)|location==계룡대교네거리,control,0.03898,5166,137.9,prefilter_flat,1.0,1.0,1.0,0.3507,0.3498,0.3521,0.4606,0.4549,0.4649,0.4905,0.002,,,,
CTRL(s=0.0390)|location==계룡대교네거리,control,0.03898,5166,137.9,single_stage_ivf_batch_np8,0.9483,0.9419,0.9543,0.0636,0.0635,0.0639,0.0688,0.0676,0.0697,0.0746,,0.48,,,
CTRL(s=0.0390)|location==계룡대교네거리,control,0.03898,5166,137.9,single_stage_ivf_batch_np32,0.9971,0.9958,0.9982,0.086,0.0856,0.0863,0.0948,0.0934,0.0957,0.1058,,0.48,,,
CTRL(s=0.0390)|location==계룡대교네거리,control,0.03898,5166,137.9,postfilter_hnsw_K2x,0.8405,0.8306,0.85,0.0985,0.0959,0.1011,0.1347,0.131,0.1388,0.1593,,,,514.0,False
CTRL(s=0.0390)|location==계룡대교네거리,control,0.03898,5166,137.9,postfilter_hnsw_K1x,0.8142,0.8037,0.8247,0.0793,0.0772,0.0805,0.1022,0.099,0.105,0.1156,,,,257.0,False
CTRL(s=0.0390)|location==계룡대교네거리,control,0.03898,5166,137.9,prefilter_hnsw_ef64,0.9996,0.9992,0.9999,0.033,0.0322,0.0337,0.0455,0.0442,0.0467,0.0489,0.658,,,,
date==20200907,natural,0.0769,10191,1000.0,prefilter_hnsw_ef64,0.9884,0.9859,0.9908,0.046,0.0453,0.0468,0.0569,0.0561,0.0589,0.0619,1.7,,,,
date==20200907,natural,0.0769,10191,1000.0,postfilter_hnsw_K4x,0.2252,0.2028,0.2472,0.1007,0.0988,0.1028,0.139,0.1344,0.1436,0.1574,,,,524.0,False
date==20200907,natural,0.0769,10191,1000.0,prefilter_flat,1.0,1.0,1.0,0.9003,0.8961,0.904,1.0044,0.9714,1.0292,1.0809,0.005,,,,
date==20200907,natural,0.0769,10191,1000.0,postfilter_hnsw_K2x,0.1874,0.165,0.2098,0.0825,0.0809,0.0837,0.107,0.1048,0.1101,0.1244,,,,262.0,False
date==20200907,natural,0.0769,10191,1000.0,single_stage_ivf_batch_np8,0.2588,0.233,0.2839,0.0617,0.0616,0.0621,0.0931,0.0847,0.1044,0.1235,,0.54,,,
date==20200907,natural,0.0769,10191,1000.0,single_stage_ivf_batch_np32,0.3482,0.3207,0.3757,0.0721,0.0718,0.0726,0.1807,0.1526,0.2178,0.2734,,0.54,,,
date==20200907,natural,0.0769,10191,1000.0,single_stage_ivf_batch_np128,0.6286,0.6015,0.654,0.1263,0.1215,0.1337,0.4985,0.4441,0.59,0.7575,,0.54,True,,
date==20200907,natural,0.0769,10191,1000.0,postfilter_hnsw_K1x,0.1428,0.1225,0.1639,0.0609,0.0596,0.0618,0.0798,0.078,0.082,0.0897,,,,131.0,False
CTRL(s=0.0769)|date==20200907,control,0.0769,10191,66.5,postfilter_hnsw_K4x,0.9655,0.9613,0.9696,0.1007,0.0985,0.1029,0.1374,0.1328,0.1418,0.1535,,,,524.0,False
CTRL(s=0.0769)|date==20200907,control,0.0769,10191,66.5,postfilter_hnsw_K1x,0.8752,0.864,0.8857,0.0606,0.0598,0.0615,0.0792,0.0767,0.081,0.0896,,,,131.0,False
CTRL(s=0.0769)|date==20200907,control,0.0769,10191,66.5,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.036,0.0351,0.0369,0.0522,0.0505,0.0531,0.0562,1.64,,,,
CTRL(s=0.0769)|date==20200907,control,0.0769,10191,66.5,postfilter_hnsw_K2x,0.9655,0.9611,0.9697,0.0812,0.08,0.0825,0.1068,0.1032,0.1103,0.1197,,,,262.0,False
CTRL(s=0.0769)|date==20200907,control,0.0769,10191,66.5,single_stage_ivf_batch_np8,0.9779,0.9736,0.9818,0.0694,0.0691,0.0698,0.0765,0.0755,0.0776,0.0809,,0.7,,,
CTRL(s=0.0769)|date==20200907,control,0.0769,10191,66.5,single_stage_ivf_batch_np32,0.9986,0.9977,0.9994,0.1049,0.1044,0.1055,0.1192,0.1155,0.1223,0.1306,,0.7,,,
CTRL(s=0.0769)|date==20200907,control,0.0769,10191,66.5,prefilter_flat,1.0,1.0,1.0,0.9012,0.8977,0.9059,0.9856,0.9741,1.0104,1.0443,0.003,,,,
date==20200908,natural,0.06477,8583,1000.0,postfilter_hnsw_K2x,0.2802,0.2538,0.3071,0.0843,0.0828,0.086,0.1108,0.1082,0.1135,0.1282,,,,310.0,False
date==20200908,natural,0.06477,8583,1000.0,postfilter_hnsw_K4x,0.3017,0.2752,0.3288,0.1039,0.1015,0.1063,0.1402,0.1357,0.1448,0.1558,,,,620.0,False
date==20200908,natural,0.06477,8583,1000.0,prefilter_hnsw_ef64,0.9931,0.9914,0.9948,0.0428,0.0422,0.0438,0.0524,0.0514,0.0538,0.0566,1.297,,,,
date==20200908,natural,0.06477,8583,1000.0,postfilter_hnsw_K1x,0.2594,0.2331,0.2866,0.0632,0.062,0.064,0.0824,0.0793,0.0833,0.0917,,,,155.0,False
date==20200908,natural,0.06477,8583,1000.0,prefilter_flat,1.0,1.0,1.0,0.7145,0.7132,0.7163,0.7959,0.7733,0.8443,0.9171,0.002,,,,
date==20200908,natural,0.06477,8583,1000.0,single_stage_ivf_batch_np8,0.2949,0.2678,0.3227,0.0623,0.062,0.0627,0.0863,0.0841,0.0892,0.0973,,0.5,,,
date==20200908,natural,0.06477,8583,1000.0,single_stage_ivf_batch_np32,0.383,0.3542,0.4115,0.075,0.0743,0.0763,0.1565,0.151,0.1656,0.1794,,0.5,,,
date==20200908,natural,0.06477,8583,1000.0,single_stage_ivf_batch_np128,0.7277,0.7043,0.7509,0.1262,0.119,0.1317,0.5033,0.4884,0.518,0.5704,,0.5,True,,
CTRL(s=0.0648)|date==20200908,control,0.06477,8583,79.0,postfilter_hnsw_K4x,0.9415,0.9354,0.9474,0.1176,0.1144,0.1198,0.1751,0.1681,0.1805,0.1992,,,,620.0,False
CTRL(s=0.0648)|date==20200908,control,0.06477,8583,79.0,single_stage_ivf_batch_np8,0.9707,0.9659,0.9752,0.0664,0.0661,0.0666,0.0719,0.0713,0.0728,0.0766,,0.63,,,
CTRL(s=0.0648)|date==20200908,control,0.06477,8583,79.0,single_stage_ivf_batch_np32,0.9978,0.9966,0.9988,0.0974,0.0969,0.0979,0.1069,0.1052,0.1086,0.1221,,0.63,,,
CTRL(s=0.0648)|date==20200908,control,0.06477,8583,79.0,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0327,0.032,0.0341,0.0454,0.0445,0.0469,0.0505,1.332,,,,
CTRL(s=0.0648)|date==20200908,control,0.06477,8583,79.0,prefilter_flat,1.0,1.0,1.0,0.7254,0.7244,0.7278,0.8264,0.8047,0.8593,0.9285,0.002,,,,
CTRL(s=0.0648)|date==20200908,control,0.06477,8583,79.0,postfilter_hnsw_K2x,0.9415,0.9357,0.9471,0.0853,0.0834,0.087,0.111,0.1075,0.1148,0.1257,,,,310.0,False
CTRL(s=0.0648)|date==20200908,control,0.06477,8583,79.0,postfilter_hnsw_K1x,0.8689,0.8587,0.879,0.0635,0.0623,0.0645,0.0813,0.0792,0.0835,0.0925,,,,155.0,False
date==20200909,natural,0.06105,8090,1000.0,postfilter_hnsw_K1x,0.2853,0.2576,0.3135,0.0644,0.0629,0.0657,0.0827,0.0812,0.085,0.0945,,,,164.0,False
date==20200909,natural,0.06105,8090,1000.0,single_stage_ivf_batch_np8,0.2983,0.2712,0.3241,0.0597,0.0595,0.06,0.0796,0.0778,0.0829,0.0862,,0.48,,,
date==20200909,natural,0.06105,8090,1000.0,single_stage_ivf_batch_np32,0.377,0.3485,0.407,0.0704,0.07,0.0709,0.1331,0.1312,0.1353,0.1523,,0.48,,,
date==20200909,natural,0.06105,8090,1000.0,single_stage_ivf_batch_np128,0.7028,0.6784,0.727,0.1215,0.1163,0.1286,0.4157,0.3994,0.4241,0.4831,,0.48,True,,
date==20200909,natural,0.06105,8090,1000.0,postfilter_hnsw_K4x,0.3117,0.284,0.3388,0.1064,0.1034,0.1083,0.1435,0.138,0.148,0.1581,,,,656.0,False
date==20200909,natural,0.06105,8090,1000.0,prefilter_flat,1.0,1.0,1.0,0.6772,0.6752,0.6783,0.7889,0.7686,0.8136,0.8458,0.002,,,,
date==20200909,natural,0.06105,8090,1000.0,postfilter_hnsw_K2x,0.297,0.2699,0.3254,0.0884,0.0864,0.0902,0.1154,0.1132,0.1206,0.1291,,,,328.0,False
date==20200909,natural,0.06105,8090,1000.0,prefilter_hnsw_ef64,0.9922,0.9902,0.9941,0.0437,0.0431,0.0446,0.0552,0.0535,0.0565,0.0615,1.209,,,,
CTRL(s=0.0610)|date==20200909,control,0.06105,8090,87.6,single_stage_ivf_batch_np8,0.9705,0.9655,0.9754,0.0685,0.0682,0.0687,0.076,0.0749,0.0769,0.0807,,0.58,,,
CTRL(s=0.0610)|date==20200909,control,0.06105,8090,87.6,single_stage_ivf_batch_np32,0.998,0.9969,0.999,0.0983,0.0977,0.0987,0.1089,0.1073,0.1115,0.1208,,0.58,,,
CTRL(s=0.0610)|date==20200909,control,0.06105,8090,87.6,prefilter_flat,1.0,1.0,1.0,0.678,0.6774,0.6785,0.7756,0.7435,0.7988,0.8747,0.002,,,,
CTRL(s=0.0610)|date==20200909,control,0.06105,8090,87.6,postfilter_hnsw_K2x,0.9342,0.9279,0.9401,0.0868,0.0848,0.0887,0.1125,0.1092,0.1146,0.1295,,,,328.0,False
CTRL(s=0.0610)|date==20200909,control,0.06105,8090,87.6,prefilter_hnsw_ef64,0.9998,0.9995,1.0,0.033,0.0322,0.0337,0.0453,0.0446,0.047,0.05,1.197,,,,
CTRL(s=0.0610)|date==20200909,control,0.06105,8090,87.6,postfilter_hnsw_K4x,0.9342,0.9279,0.9403,0.106,0.1033,0.1077,0.1402,0.1364,0.1489,0.1639,,,,656.0,False
CTRL(s=0.0610)|date==20200909,control,0.06105,8090,87.6,postfilter_hnsw_K1x,0.8627,0.8522,0.8728,0.0644,0.0635,0.066,0.0823,0.0811,0.0854,0.0949,,,,164.0,False
