replicate,dose,relevance_def,population_edges,selected_edges,selected_clip_ids_sha256
32,0.25,dense_frame,70,17,f3191716bd05b20225f9105b13211052c10bf93bb4f2a1d36719479170f8f801
32,0.25,multiple_buses,247,61,016d2f62233d55377c4d71e93fe18a22e7b20663cd7e7b06a012c8d5ad02867f
32,0.25,stopped_vehicles,636,159,3fb8a6ef6a2402af3554cac7f79127e0a77ab057ee4e9f3d9bc13ebe72b7d1ec
32,0.25,two_plus_bikes,345,86,b454a2ef4b6dc14ebe1804717a750022da0f5425953bbd26258c2571f04e2883
33,0.25,parked_vehicle,69,17,d6f08b9e08aff99ca501bb949ce96aa97e4d9bf6bad94ac44afc77b36883adbf
33,0.25,dense_frame,70,17,c0909386c9e4177080c0271e9942b081f1299de5c975eaa5117f31c8471b2127
33,0.25,multiple_buses,247,61,a622b5e1a8084170bce22e079eab9d8bc06b0741262bf248958bff4099e0efad
33,0.25,stopped_vehicles,636,159,931546a79af39acd5d07d01a8281341d5da0afa181bbc2e0711f43f025d03dc1
33,0.25,two_plus_bikes,345,86,709d2a016099b6244e86e3fc749b867873ae85e1587643bb53fa1b68218aae1e
34,0.25,parked_vehicle,69,17,9e489aed7f0319f464a846ae31d427d40eb87e0766a36f33d36218e0cc7a590e
34,0.25,dense_frame,70,17,e1659fdbf3fe09af800a100c135d8924e3d1e1a9b69d78859ef4d927f1b8df03
34,0.25,multiple_buses,247,61,1b8fb032b43faddac1a0c6ec5001268abb86539342d9c987bbfcdacfcd9fe7bb
34,0.25,stopped_vehicles,636,159,f2f1d75a6d22d36bef73aaf5026f81bb119f60aee041ab3874c16a267eb3af62
34,0.25,two_plus_bikes,345,86,02b65ea0ee32dde99642abde0b7251da091182094e6de36b38964d5cbfe2a806
35,0.25,parked_vehicle,69,17,9da128ba6261ee6270dd467326cd14a6d4faeb2f78f48885ee2bff4337aaa40e
35,0.25,dense_frame,70,17,cef5137030f40100a2f99b4bf001b1ff8d3dda2a2f95dfa457f787e665b05158
35,0.25,multiple_buses,247,61,dfe9df342224b558f258577afc44206419fe56d663c2885d8d8b7f0770a31431
35,0.25,stopped_vehicles,636,159,39e5133759997f5f82676724ca3e7cd263ea703a5ea588cc7b780b7edc4e865a
35,0.25,two_plus_bikes,345,86,be291b661bc795061e13bd352f005bef70e6547580318b533a411ebd15c31ebc
36,0.25,parked_vehicle,69,17,9e289229043995fd5eb814f7650abec8efc6e9b402e6d4ea19c1e1b4015fb899
36,0.25,dense_frame,70,17,ee8513d66eb934f869716ddefdd81930dd0b340201cdacfcf7060d172451b1d4
36,0.25,multiple_buses,247,61,a826fa28fabf1a64ed82cd6b000d648a84aae0dff243ad20c416d2c5996523ac
36,0.25,stopped_vehicles,636,159,6d1c63f1d73bd915d8c4b9ec7a314dbf58c6ba277d68c2897cfcac2e03b4926c
36,0.25,two_plus_bikes,345,86,bf112967d2e8f61a6e91e68bad7bd078bb917881fe3734ec28cf88aac043777a
37,0.25,parked_vehicle,69,17,accce5363152b0ac4bfdea1b95096a56a8354cd0c5aa5b7c416d711908e4dcc7
37,0.25,dense_frame,70,17,f97cde2191ee1d9c913c2c84d468e3e785b17b816a83740451d04bda5d199079
37,0.25,multiple_buses,247,61,a31b21ee4541af050194608df7604fec458d98a8d74c59b6cacfdc87600b9e75
