predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,kprime,degenerate,build_s,selector_build_ms,escalated
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0462,0.0449,0.0479,0.07,0.0654,0.0767,40.0,False,,,
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0412,0.0398,0.0429,0.0623,0.0565,0.0693,,,21.672,,
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,postfilter_hnsw_K1x,0.9225,0.9055,0.9385,0.0454,0.0441,0.0465,0.0691,0.0643,0.0766,20.0,False,,,
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,prefilter_flat,1.0,1.0,1.0,7.1914,7.1757,7.2075,7.4677,7.3995,7.4975,,,0.057,,
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,single_stage_ivf_batch_np8,0.9975,0.9945,0.9995,0.1043,0.1023,0.1067,0.1312,0.1241,0.1385,,,,4.25,
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.3098,0.2995,0.3196,0.4473,0.4003,0.4564,,,,4.25,
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.2723,0.2638,0.2812,0.3801,0.3626,0.3998,,,,34.22,
veh_density_bin==low,natural,0.29764,42810,34.2,postfilter_hnsw_K4x,0.618,0.549,0.681,0.0604,0.059,0.0617,0.0896,0.0821,0.0937,136.0,False,,,
veh_density_bin==low,natural,0.29764,42810,34.2,prefilter_hnsw_ef64,0.99,0.9845,0.995,0.0426,0.04,0.0453,0.0668,0.0633,0.0693,,,9.931,,
veh_density_bin==low,natural,0.29764,42810,34.2,prefilter_flat,1.0,1.0,1.0,4.2153,4.2014,4.222,4.3797,4.3335,4.4031,,,0.033,,
veh_density_bin==low,natural,0.29764,42810,34.2,postfilter_hnsw_K1x,0.4915,0.426,0.557,0.0439,0.0428,0.0452,0.065,0.0603,0.0759,34.0,False,,,
veh_density_bin==low,natural,0.29764,42810,34.2,single_stage_ivf_batch_np8,0.749,0.693,0.8035,0.0752,0.0695,0.0799,0.1145,0.1069,0.1206,,,,2.43,
veh_density_bin==low,natural,0.29764,42810,34.2,single_stage_ivf_batch_np32,0.893,0.8595,0.926,0.1544,0.144,0.1697,0.3035,0.2881,0.3392,,,,2.43,
veh_density_bin==low,natural,0.29764,42810,34.2,single_stage_ivf_batch_np128,0.995,0.9915,0.998,0.6526,0.6189,0.7085,1.1616,1.0885,1.2433,,,,2.43,True
veh_density_bin==low,natural,0.29764,42810,34.2,single_stage_ivf_bitmap_np32,0.893,0.8575,0.926,0.1448,0.1318,0.1568,0.2695,0.2547,0.3191,,,,21.19,
veh_density_bin==low,natural,0.29764,42810,34.2,postfilter_hnsw_K2x,0.5715,0.5055,0.6375,0.0474,0.0458,0.0486,0.0727,0.0655,0.0803,68.0,False,,,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,prefilter_flat,1.0,1.0,1.0,4.2158,4.2022,4.2251,4.3628,4.3051,4.4209,,,0.033,,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0481,0.047,0.0497,0.0741,0.066,0.0802,68.0,False,,,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,postfilter_hnsw_K1x,0.905,0.886,0.924,0.0442,0.0434,0.0454,0.0649,0.0624,0.0739,34.0,False,,,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0401,0.0387,0.0417,0.0645,0.0582,0.0656,,,11.977,,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,single_stage_ivf_batch_np8,0.9955,0.989,0.9995,0.0842,0.0833,0.0856,0.1035,0.0965,0.1069,,,,2.93,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.1958,0.1916,0.1993,0.2465,0.2364,0.2576,,,,2.93,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.1792,0.1761,0.1835,0.223,0.2146,0.2535,,,,21.17,
CTRL(s=0.2976)|veh_density_bin==low,control,0.29764,42810,17.5,postfilter_hnsw_K4x,1.0,1.0,1.0,0.0606,0.0594,0.0631,0.0891,0.0819,0.0938,136.0,False,,,
veh_density_bin==mid,natural,0.27268,39220,30.9,postfilter_hnsw_K2x,0.6185,0.5555,0.684,0.0492,0.0477,0.0507,0.0738,0.0682,0.0808,74.0,False,,,
veh_density_bin==mid,natural,0.27268,39220,30.9,prefilter_hnsw_ef64,0.9935,0.989,0.9975,0.0445,0.0425,0.0478,0.0721,0.0688,0.0751,,,9.975,,
veh_density_bin==mid,natural,0.27268,39220,30.9,prefilter_flat,1.0,1.0,1.0,3.8571,3.8486,3.8674,4.01,3.9698,4.0754,,,0.041,,
veh_density_bin==mid,natural,0.27268,39220,30.9,postfilter_hnsw_K1x,0.529,0.465,0.593,0.0462,0.0443,0.0473,0.069,0.0657,0.077,37.0,False,,,
veh_density_bin==mid,natural,0.27268,39220,30.9,single_stage_ivf_batch_np8,0.8245,0.7765,0.869,0.0821,0.0785,0.0854,0.1116,0.1057,0.1147,,,,2.03,
veh_density_bin==mid,natural,0.27268,39220,30.9,single_stage_ivf_batch_np32,0.9655,0.948,0.9805,0.1656,0.1563,0.1744,0.2717,0.2583,0.2942,,,,2.03,
veh_density_bin==mid,natural,0.27268,39220,30.9,single_stage_ivf_bitmap_np32,0.9655,0.9485,0.9805,0.1529,0.1457,0.1602,0.2551,0.2352,0.2833,,,,18.12,
veh_density_bin==mid,natural,0.27268,39220,30.9,postfilter_hnsw_K4x,0.663,0.6005,0.724,0.0629,0.061,0.065,0.0899,0.0847,0.0975,148.0,False,,,
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,postfilter_hnsw_K2x,0.9985,0.996,1.0,0.0502,0.0491,0.0521,0.0743,0.0703,0.0847,74.0,False,,,
