dataset,clip_id,arm,bytes
VRU,vru_accident:CAP_DATA:VRU_159,fusion_stack,122355
VRU,vru_accident:CAP_DATA:VRU_16,raw_video,1168773
VRU,vru_accident:CAP_DATA:VRU_16,caption_stack,4938
VRU,vru_accident:CAP_DATA:VRU_16,center_frame_stack,21006
VRU,vru_accident:CAP_DATA:VRU_16,visual_4frame_stack,88785
VRU,vru_accident:CAP_DATA:VRU_16,fusion_stack,93723
VRU,vru_accident:CAP_DATA:VRU_160,raw_video,1314819
VRU,vru_accident:CAP_DATA:VRU_160,caption_stack,4905
VRU,vru_accident:CAP_DATA:VRU_160,center_frame_stack,29406
VRU,vru_accident:CAP_DATA:VRU_160,visual_4frame_stack,115789
VRU,vru_accident:CAP_DATA:VRU_160,fusion_stack,120694
VRU,vru_accident:CAP_DATA:VRU_161,raw_video,1074351
VRU,vru_accident:CAP_DATA:VRU_161,caption_stack,4982
VRU,vru_accident:CAP_DATA:VRU_161,center_frame_stack,24404
VRU,vru_accident:CAP_DATA:VRU_161,visual_4frame_stack,99414
VRU,vru_accident:CAP_DATA:VRU_161,fusion_stack,104396
VRU,vru_accident:CAP_DATA:VRU_162,raw_video,1092416
VRU,vru_accident:CAP_DATA:VRU_162,caption_stack,4878
VRU,vru_accident:CAP_DATA:VRU_162,center_frame_stack,23467
VRU,vru_accident:CAP_DATA:VRU_162,visual_4frame_stack,95322
VRU,vru_accident:CAP_DATA:VRU_162,fusion_stack,100200
VRU,vru_accident:CAP_DATA:VRU_163,raw_video,2184860
VRU,vru_accident:CAP_DATA:VRU_163,caption_stack,4929
VRU,vru_accident:CAP_DATA:VRU_163,center_frame_stack,31734
VRU,vru_accident:CAP_DATA:VRU_163,visual_4frame_stack,111495
VRU,vru_accident:CAP_DATA:VRU_163,fusion_stack,116424
VRU,vru_accident:CAP_DATA:VRU_164,raw_video,1446351
VRU,vru_accident:CAP_DATA:VRU_164,caption_stack,4987
VRU,vru_accident:CAP_DATA:VRU_164,center_frame_stack,36061
VRU,vru_accident:CAP_DATA:VRU_164,visual_4frame_stack,142570
