family,scoring,candidate,baseline,queries,clusters,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi,p_query,p_cluster,wins,ties,losses,q_query_bh,q_cluster_bh
index,strict,caption__B3_postfilter__ivfflat_np32,caption__B3_postfilter__flat,85,25,0.0005549078538928354,-0.003094369764829334,0.003804447432587336,-0.003034158951231976,0.003445500597157923,0.697,0.7238,6,78,1,0.9115076923076924,0.9040799999999999
index,semantic,caption__B3_postfilter__ivfflat_np32,caption__B3_postfilter__flat,85,25,0.0005549078538928354,-0.003094369764829334,0.003804447432587336,-0.003034158951231976,0.003445500597157923,0.697,0.7238,6,78,1,0.852744827586207,0.8326857142857143
index,strict,caption__B4_prefilter__ivfflat_np32,caption__B4_prefilter__flat,85,25,-0.0011694992801196795,-0.005703475657093361,0.002792437465252228,-0.006042434592476686,0.0024444291549794773,0.6178,0.775,8,74,3,0.9115076923076924,0.9098926829268292
index,semantic,caption__B4_prefilter__ivfflat_np32,caption__B4_prefilter__flat,85,25,-0.0011904176633317264,-0.00572749276661284,0.0027654371778732425,-0.006056953343443838,0.0024319204825602424,0.6098,0.7684,8,74,3,0.836297142857143,0.8540689655172414
index,strict,caption__B5_lexical_vector_hybrid__ivfflat_np32,caption__B5_lexical_vector_hybrid__flat,85,25,-0.0008371051044073352,-0.004551630025035372,0.002678666178448612,-0.004863332874113479,0.003911149090009999,0.6736,0.7488,6,71,8,0.9115076923076924,0.9040799999999999
index,semantic,caption__B5_lexical_vector_hybrid__ivfflat_np32,caption__B5_lexical_vector_hybrid__flat,85,25,-0.0008371051044073352,-0.004551630025035372,0.002678666178448612,-0.004863332874113479,0.003911149090009999,0.6736,0.7488,6,71,8,0.852744827586207,0.8457035294117647
index,strict,representative_frame__B2_vector__ivfflat_np32,representative_frame__B2_vector__flat,85,25,4.6267060736268136e-05,0.0,0.00013880118220880442,0.0,0.00016854429268211963,0.7392,0.7164,1,84,0,0.9115076923076924,0.9040799999999999
index,semantic,representative_frame__B2_vector__ivfflat_np32,representative_frame__B2_vector__flat,85,25,4.6267060736268136e-05,0.0,0.00013880118220880442,0.0,0.00016854429268211963,0.7392,0.7164,1,84,0,0.852744827586207,0.8326857142857143
index,strict,representative_frame__B3_postfilter__ivfflat_np32,representative_frame__B3_postfilter__flat,85,25,0.002417633154767419,-0.00016728702694049455,0.006755350143548862,-0.0001528967450531402,0.007091447594250206,0.2618,0.2422,2,82,1,0.5129142857142857,0.5054608695652174
index,semantic,representative_frame__B3_postfilter__ivfflat_np32,representative_frame__B3_postfilter__flat,85,25,0.002417633154767419,-0.00016728702694049455,0.006755350143548862,-0.0001528967450531402,0.007091447594250206,0.2618,0.2422,2,82,1,0.4333241379310344,0.4344888888888889
index,strict,representative_frame__B4_prefilter__ivfflat_np32,representative_frame__B4_prefilter__flat,85,25,0.0016447373904779194,-0.0025583333063840348,0.006703352893202142,-0.003333680820595826,0.0070983752824212475,0.512,0.5368,5,78,2,0.8936727272727273,0.8311741935483873
index,semantic,representative_frame__B4_prefilter__ivfflat_np32,representative_frame__B4_prefilter__flat,85,25,0.0016447373904779194,-0.0025583333063840348,0.006703352893202142,-0.003333680820595826,0.0070983752824212475,0.512,0.5368,5,78,2,0.7447272727272728,0.7691462686567165
index,strict,joint_image_caption__B2_vector__ivfflat_np32,joint_image_caption__B2_vector__flat,85,25,3.098159124043915e-05,0.0,9.294477372131744e-05,0.0,0.00011286151094731403,0.7366,0.711,1,84,0,0.9115076923076924,0.9040799999999999
index,semantic,joint_image_caption__B2_vector__ivfflat_np32,joint_image_caption__B2_vector__flat,85,25,3.0981591240438824e-05,0.0,9.294477372131646e-05,0.0,0.00011286151094731285,0.7366,0.711,1,84,0,0.852744827586207,0.8326857142857143
index,strict,joint_image_caption__B3_postfilter__ivfflat_np32,joint_image_caption__B3_postfilter__flat,85,25,0.00016956036232586194,0.0,0.00039834833499660937,0.0,0.0003830698644019708,0.0944,0.0846,3,82,0,0.27694545454545455,0.25134545454545454
