protocol,repeat,doc_id,expected_version,expected_deleted,expected_epoch,dense_version,sparse_version,cache_version,stale,future,mixed,missing,answer_error,update_window,latency_ms
naive_eager,0,1,2,0,0,2,2,2,0,0,0,0,0,1,10.696280747652054
naive_eager,0,29,1,0,0,1,1,1,0,0,0,0,0,1,10.597854852676392
naive_eager,0,5,2,0,0,2,2,2,0,0,0,0,0,1,10.568861849606037
naive_eager,0,98,1,0,0,1,1,1,0,0,0,0,0,1,17.681210301816463
naive_eager,0,121,2,0,0,2,2,2,0,0,0,0,0,1,18.28803773969412
naive_eager,0,53,2,0,0,1,1,1,1,0,0,1,1,1,27.576349675655365
naive_eager,0,25,2,0,0,1,1,1,1,0,0,1,1,1,21.612465381622314
naive_eager,0,27,1,0,0,1,1,1,0,0,0,0,0,1,10.74106153100729
naive_eager,0,69,1,0,0,1,1,1,0,0,0,0,0,1,10.658291168510914
naive_eager,0,25,2,0,0,1,1,1,1,0,0,1,1,1,10.68236492574215
naive_eager,0,23,2,0,0,1,1,1,1,0,0,1,1,1,10.881636291742325
naive_eager,0,65,1,0,0,1,1,1,0,0,0,0,0,1,10.831772349774837
naive_eager,0,94,2,0,0,1,1,1,1,0,0,1,1,1,11.242848820984364
naive_eager,0,44,1,0,0,1,1,1,0,0,0,0,0,1,12.017898261547089
naive_eager,0,4,2,0,0,1,1,1,1,0,0,1,1,1,11.555765755474567
naive_eager,0,119,1,0,0,1,1,1,0,0,0,0,0,1,11.75044011324644
naive_eager,0,106,2,0,0,1,1,1,1,0,0,1,1,1,10.668794624507427
naive_eager,0,71,1,0,0,1,1,1,0,0,0,0,0,1,10.775010101497173
naive_eager,0,101,2,0,0,1,1,1,1,0,0,1,1,1,10.151928290724754
naive_eager,0,20,2,0,0,1,1,1,1,0,0,1,1,1,10.426871478557587
naive_eager,0,15,2,1,0,1,1,1,1,0,0,0,1,1,20.12549340724945
naive_eager,0,31,1,0,0,1,1,1,0,0,0,0,0,1,13.844560831785202
naive_eager,0,108,1,0,0,1,1,1,0,0,0,0,0,1,33.166528679430485
naive_eager,0,106,2,0,0,2,1,1,1,0,1,0,1,1,33.165900968015194
naive_eager,0,106,2,0,0,2,1,1,1,0,1,0,1,1,11.042989790439606
naive_eager,0,94,2,0,0,1,1,1,1,0,0,1,1,1,10.438092984259129
naive_eager,0,32,2,0,0,2,1,1,1,0,1,0,1,1,10.790972970426083
naive_eager,0,34,1,0,0,1,1,1,0,0,0,0,0,1,10.27632411569357
naive_eager,0,78,1,0,0,1,1,1,0,0,0,0,0,1,11.151057668030262
naive_eager,0,79,2,1,0,1,1,1,1,0,0,0,1,1,11.07419840991497
naive_eager,0,84,1,0,0,1,1,1,0,0,0,0,0,1,11.10830344259739
naive_eager,0,105,2,0,0,1,1,1,1,0,0,1,1,1,10.252811014652252
naive_eager,0,101,2,0,0,2,1,1,1,0,1,0,1,1,11.161036789417267
naive_eager,0,80,1,0,0,1,1,1,0,0,0,0,0,1,21.430249325931072
naive_eager,0,56,2,0,0,2,2,1,1,0,1,0,1,1,17.845528200268745
naive_eager,0,79,2,1,0,1,1,1,1,0,0,0,1,1,18.950714729726315
naive_eager,0,116,1,0,0,1,1,1,0,0,0,0,0,1,28.46110425889492
