discordance,ICC,delta,obs_per_cluster,power,DEFF,n_pairs,n_clusters_needed
0.3,0.3,0.05,6,0.8,2.5,1257,524
0.3,0.3,0.05,6,0.9,2.5,1622,676
0.3,0.3,0.08,2,0.8,1.3,491,319
0.3,0.3,0.08,2,0.9,1.3,634,412
0.3,0.3,0.08,4,0.8,1.9,491,234
0.3,0.3,0.08,4,0.9,1.9,634,301
0.3,0.3,0.08,6,0.8,2.5,491,205
0.3,0.3,0.08,6,0.9,2.5,634,264
0.3,0.3,0.1,2,0.8,1.3,315,205
0.3,0.3,0.1,2,0.9,1.3,406,264
0.3,0.3,0.1,4,0.8,1.9,315,150
0.3,0.3,0.1,4,0.9,1.9,406,193
0.3,0.3,0.1,6,0.8,2.5,315,131
0.3,0.3,0.1,6,0.9,2.5,406,169
0.4,0.0,0.03,2,0.8,1.0,4653,2327
0.4,0.0,0.03,2,0.9,1.0,6005,3003
0.4,0.0,0.03,4,0.8,1.0,4653,1164
0.4,0.0,0.03,4,0.9,1.0,6005,1502
0.4,0.0,0.03,6,0.8,1.0,4653,776
0.4,0.0,0.03,6,0.9,1.0,6005,1001
0.4,0.0,0.05,2,0.8,1.0,1676,838
0.4,0.0,0.05,2,0.9,1.0,2162,1081
0.4,0.0,0.05,4,0.8,1.0,1676,419
0.4,0.0,0.05,4,0.9,1.0,2162,541
0.4,0.0,0.05,6,0.8,1.0,1676,280
0.4,0.0,0.05,6,0.9,1.0,2162,361
0.4,0.0,0.08,2,0.8,1.0,655,328
0.4,0.0,0.08,2,0.9,1.0,845,423
0.4,0.0,0.08,4,0.8,1.0,655,164
0.4,0.0,0.08,4,0.9,1.0,845,212
0.4,0.0,0.08,6,0.8,1.0,655,110
0.4,0.0,0.08,6,0.9,1.0,845,141
0.4,0.0,0.1,2,0.8,1.0,419,210
0.4,0.0,0.1,2,0.9,1.0,541,271
0.4,0.0,0.1,4,0.8,1.0,419,105
0.4,0.0,0.1,4,0.9,1.0,541,136
0.4,0.0,0.1,6,0.8,1.0,419,70
0.4,0.0,0.1,6,0.9,1.0,541,91
0.4,0.05,0.03,2,0.8,1.05,4653,2443
0.4,0.05,0.03,2,0.9,1.05,6005,3153
0.4,0.05,0.03,4,0.8,1.15,4653,1338
0.4,0.05,0.03,4,0.9,1.15,6005,1727
0.4,0.05,0.03,6,0.8,1.25,4653,970
0.4,0.05,0.03,6,0.9,1.25,6005,1251
0.4,0.05,0.05,2,0.8,1.05,1676,880
0.4,0.05,0.05,2,0.9,1.05,2162,1135
0.4,0.05,0.05,4,0.8,1.15,1676,482
0.4,0.05,0.05,4,0.9,1.15,2162,622
0.4,0.05,0.05,6,0.8,1.25,1676,349
0.4,0.05,0.05,6,0.9,1.25,2162,451
0.4,0.05,0.08,2,0.8,1.05,655,344
0.4,0.05,0.08,2,0.9,1.05,845,444
0.4,0.05,0.08,4,0.8,1.15,655,189
0.4,0.05,0.08,4,0.9,1.15,845,243
0.4,0.05,0.08,6,0.8,1.25,655,137
0.4,0.05,0.08,6,0.9,1.25,845,176
0.4,0.05,0.1,2,0.8,1.05,419,220
0.4,0.05,0.1,2,0.9,1.05,541,284
0.4,0.05,0.1,4,0.8,1.15,419,121
0.4,0.05,0.1,4,0.9,1.15,541,156
0.4,0.05,0.1,6,0.8,1.25,419,88
0.4,0.05,0.1,6,0.9,1.25,541,113
0.4,0.1,0.03,2,0.8,1.1,4653,2560
0.4,0.1,0.03,2,0.9,1.1,6005,3303
0.4,0.1,0.03,4,0.8,1.3,4653,1513
0.4,0.1,0.03,4,0.9,1.3,6005,1952
0.4,0.1,0.03,6,0.8,1.5,4653,1164
